sample,batch,class,order
20w1-1,1,1,20
20w1-2,1,1,15
20w1-3,1,1,21
20w2-1,1,2,16
20w2-2,1,2,12
20w2-3,1,2,11
13w-1,1,3,8
13w-2,1,3,6
13w-3,1,3,13
CBO1,1,4,18
CBO2,1,4,10
CBO3,1,4,5
FBO1,1,5,7
FBO2,1,5,22
FBO3,1,5,17
QC01,1,,1
QC02,1,,2
QC03,1,,3
QC04,1,,4
QC05,1,,9
QC06,1,,14
QC07,1,,19
QC08,1,,23
