Name,RT [min],CCS,m/z meas.,Ions,Original annotation,Molecular Formula,Name for process,Lipidlynx name bulk,Lipidlynx name molecular species,ID confidence,20w1-1,20w1-2,20w1-3,20w2-1,20w2-2,20w2-3,13w-1,13w-2,13w-3,CBO1,CBO2,CBO3,FBO1,FBO2,FBO3,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08
LPS(20:4)_544.26704_0.91_Medium,91,2273,54426704,[M-H]-,LPS 20:4,C26H44NO9P,LPS 20:4_544.267_0.91_[M-H]-_Medium,LPS(20:4),,Medium,1.668751261,1.711497903,1.722581947,0.757559049,0.798555468,0.998421891,1.822720779,1.408312607,1.8019038,NA,NA,0.131386879,NA,NA,NA,1.038340041,0.938192073,0.960767333,1.053031766,0.980888016,1.011895974,1.013683223,1.033094178
LPS(20:3)_546.28179_0.99_low,99,2281,54628179,[M-H]-,LPS 20:3,C26H46NO9P,LPS 20:3_546.282_0.99_[M-H]-_low,LPS(20:3),,low,1.464088585,1.830297447,1.486820783,0.631487682,0.542843033,0.711177709,2.318695668,1.760549106,2.163232541,NA,NA,NA,NA,NA,NA,0.912835616,1.09340749,1.028512462,0.91729836,0.988011931,1.006001779,1.023624118,1.04850225
LPS(18:1)_522.28253_1.1_low,11,2253,52228253,[M-H]-,LPS 18:1,C24H46NO9P,LPS 18:1_522.283_1.1_[M-H]-_low,LPS(18:1),,low,1.700785633,1.916711598,1.690238248,0.704915179,0.888596485,0.757743625,2.148980364,1.802041311,1.890556915,0.110483208,0.081706846,0.121903742,0.063957669,0.069271734,0.072530658,1.025889213,0.95602017,0.972688665,1.04222011,0.971262008,1.004367693,1.039670792,1.01698995
LPS(18:0)_524.29841_1.52_Medium,152,2286,52429841,[M-H]-,LPS 18:0,C24H48NO9P,LPS 18:0_524.298_1.52_[M-H]-_Medium,LPS(18:0),,Medium,1.275120415,1.393589094,1.542136877,0.705015101,0.74219658,0.720710777,1.25484756,1.273787314,1.270948472,0.102293475,0.098773937,0.103682127,0.102075677,0.100789919,0.17791088,1.053098359,0.949993421,1.014116241,0.974735614,1.037411974,0.979005012,0.989637024,1.029766509
LPI(20:4)_619.28891_0.9_Medium,9,2415,61928891,[M-H]-,LPI 20:4,C29H49O12P,LPI 20:4_619.289_0.9_[M-H]-_Medium,LPI(20:4),,Medium,1.346980992,1.42156961,1.311733822,1.281196147,1.037567581,1.328380145,2.184916052,1.628772783,2.111971491,NA,0.013172181,0.014980242,NA,0.011458304,0.012682983,1.005275747,0.967282828,0.996495266,0.990458379,1.012899141,0.98597268,1.016976126,1.053719174
LPI(20:3)_621.30348_1.05_High,105,2441,62130348,[M-H]-,LPI 20:3,C29H51O12P,LPI 20:3_621.303_1.05_[M-H]-_High,LPI(20:3),,High,1.413024544,1.634237675,1.332488516,1.163614286,0.99317586,1.159012638,1.415878497,1.288845787,1.657634107,NA,NA,0.098037696,NA,NA,NA,0.954099737,1.019448267,0.937337515,1.021935077,1.062198293,0.985346393,1.035463212,1.010035021
LPI(18:1)_597.30387_1.15_Medium,115,2379,59730387,[M-H]-,LPI 18:1,C27H51O12P,LPI 18:1_597.304_1.15_[M-H]-_Medium,LPI(18:1),,Medium,1.486992489,1.486358791,1.446304247,1.288154411,1.046312481,1.220146661,1.48501853,1.398475139,1.452658937,NA,0.006628546,NA,NA,NA,NA,1.021210949,1.028558282,0.931992998,1.045051739,0.970930704,1.023111421,0.981676167,1.014786078
LPI(18:0)_599.31918_1.5_Medium,15,2411,59931918,"[M-H]-, [2M-H]-",LPI 18:0,C27H53O12P,LPI 18:0_599.319_1.5_[M-H]-_Medium,LPI(18:0),,Medium,1.206682185,1.25553338,1.239682503,0.951171333,0.82285597,0.894698146,1.284420563,1.250390056,1.216235707,0.006699668,0.004753465,0.005092553,0.003814214,0.004035555,0.00581563,1.008135884,1.002339374,1.010530778,0.963297633,1.032481075,0.993581573,0.970011889,1.022785998
LPI(16:0)_571.28783_1.1_low,11,2337,57128783,[M-H]-,LPI 16:0,C25H49O12P,LPI 16:0_571.288_1.1_[M-H]-_low,LPI(16:0),,low,1.638268957,1.782392,1.710717765,1.170910112,0.945915604,1.10150672,1.680977001,1.481932696,1.649976507,NA,0.012736906,NA,NA,NA,NA,1.032707876,0.957182273,0.989883532,1.015100533,0.993701315,1.026095715,0.993496985,1.028346463
LPG(22:6)_555.27152_0.9_low,9,2284,55527152,[M-H]-,LPG 22:6,C28H45O9P,LPG 22:6_555.272_0.9_[M-H]-_low,LPG(22:6),,low,0.880995548,0.879862304,0.79749036,1.286367462,1.118492158,1.337465446,2.066398351,1.48087059,2.219419983,NA,0.097590178,0.12373205,0.051325002,NA,0.058138276,0.930343063,1.00509482,0.984972171,1.027490545,1.036777298,1.011590932,0.983044265,1.071863794
LPG(22:5)_557.28745_1.03_Medium,103,2299,55728745,[M-H]-,LPG 22:5,C28H47O9P,LPG 22:5_557.287_1.03_[M-H]-_Medium,LPG(22:5),,Medium,0.961762037,1.052034674,0.898311261,1.441129945,1.070966916,1.350269553,0.821308043,0.791608555,0.878820709,0.320346088,0.722024514,0.951871409,0.086107772,0.13734387,0.102809115,0.929197769,1.050111917,0.985532781,1.026691271,1.039317451,0.997021818,0.974441582,1.039651634
LPG(22:4)_559.30248_1.12_low,112,231,55930248,[M-H]-,LPG 22:4,C28H49O9P,LPG 22:4_559.302_1.12_[M-H]-_low,LPG(22:4),,low,1.258865923,1.256711655,1.04589852,0.980218706,0.795328057,1.033669316,2.318258445,1.681468813,1.67260759,NA,0.764813449,0.742537834,0.089497488,0.064353427,0.12570647,0.939756726,1.067052842,0.968248328,1.01940561,0.95860488,1.025150926,1.006497736,1.022762412
LPG(20:4)_531.27186_0.95_low,95,2252,53127186,[M-H]-,LPG 20:4,C26H45O9P,LPG 20:4_531.272_0.95_[M-H]-_low,LPG(20:4),,low,1.146841464,1.045271421,0.910662395,0.940892334,0.83755973,0.963480386,1.507062701,1.065638835,1.56915346,0.374927631,1.645578704,1.478876656,0.29118336,0.115659271,0.24900455,1.00834833,0.986998752,1.013511623,0.960827181,1.010693027,0.99715702,0.973586614,1.111517931
LPG(20:3)_533.2881_1.03_Medium,103,2257,5332881,[M-H]-,LPG 20:3,C26H47O9P,LPG 20:3_533.288_1.03_[M-H]-_Medium,LPG(20:3),,Medium,0.749905237,0.755110455,0.768190403,0.357447894,0.411394517,0.549221331,0.873502765,0.712931646,0.924063851,0.669953701,1.858874298,1.820521175,0.695143562,0.188610266,0.809322853,0.900895028,1.034376541,1.076032241,0.980738302,1.074493615,0.980759337,1.032293652,0.972222288
LPG(18:1)_509.28718_1.15_Medium,115,2216,50928718,[M-H]-,LPG 18:1,C24H47O9P,LPG 18:1_509.287_1.15_[M-H]-_Medium,LPG(18:1),,Medium,1.541642385,1.415394146,1.27526708,1.072272172,0.773605494,0.898007463,1.324059359,1.182717427,1.325259568,0.629141617,1.47880742,1.017415721,0.161926192,NA,0.105372783,1.034472648,1.044691784,0.937358775,0.964403804,1.026795505,0.9846181,0.979122626,1.061562706
LPG(18:0)_511.30323_1.49_Medium,149,2248,51130323,[M-H]-,LPG 18:0,C24H49O9P,LPG 18:0_511.303_1.49_[M-H]-_Medium,LPG(18:0),,Medium,0.445412991,0.491902593,0.50798166,0.535545079,0.391143655,0.412769637,0.812939768,0.610765119,0.776380142,0.571400456,1.381000089,0.858594034,0.420504315,NA,NA,0.888503592,1.014479717,0.973686503,1.03202907,1.029449063,1.002181573,0.990515766,1.088966976
LPG(16:1)_481.25615_0.93_low,93,2157,48125615,[M-H]-,LPG 16:1,C22H43O9P,LPG 16:1_481.256_0.93_[M-H]-_low,LPG(16:1),,low,1.408778928,1.477347555,1.038949024,0.993933086,0.730479445,0.809054168,1.589136243,1.177765642,1.419583644,NA,0.715529104,NA,NA,NA,NA,1.025190403,0.931626645,1.031974308,1.022533522,1.088711467,0.944228829,1.015209369,1.007102848
LPE(O-18:2)_464.3135_1.69_High,169,2163,4643135,[M+H]+,LPE O-18:2,C23H46NO6P,LPE O-18:2_464.314_1.69_[M+H]+_High,LPE(O-18:2),,High,1.886557094,1.90566384,1.941722378,1.042249887,0.949937574,0.91184954,2.311436307,2.183046294,2.05878666,0.268765134,0.246268386,0.098016021,NA,NA,NA,1.038666012,0.997387001,0.990566238,0.974816516,1.006947427,1.018215029,0.996680054,0.95137735
LPE(O-18:2)_462.29877_1.7_High,17,2143,46229877,[M-H]-,LPE O-18:2,C23H46NO6P,LPE O-18:2_462.299_1.7_[M-H]-_High,LPE(O-18:2),,High,1.144969666,1.109139279,1.020346974,0.660153756,0.608166346,0.594449523,1.564678019,1.356566823,1.463272914,0.431592331,0.426429391,0.269740917,0.114370779,0.07750919,0.11470911,1.047229051,0.942969463,0.96791577,1.041592358,1.002424007,0.985456214,0.987114457,1.046733844
LPE(O-18:1)_466.3294_1.98_High,198,2219,4663294,[M+H]+,LPE O-18:1,C23H48NO6P,LPE O-18:1_466.329_1.98_[M+H]+_High,LPE(O-18:1),,High,1.530208327,1.468869621,1.285902173,0.921672776,0.85342548,0.831011968,1.975381307,1.866620056,1.763777464,0.339661442,0.362895047,0.132414534,0.124686343,0.125248017,0.185621095,1.027285014,1.006875432,0.958162939,1.023936362,0.942894505,1.032331473,0.974009199,1.018626755
LPE(O-18:1)_464.3148_1.97_High,197,217,4643148,"[M-H]-, [2M-H]-",LPE O-18:1,C23H48NO6P,LPE O-18:1_464.315_1.97_[M-H]-_High,LPE(O-18:1),,High,1.267125532,1.232929257,1.203383929,0.597854761,0.612106339,0.785052753,2.175686236,1.80256162,2.118422528,0.63204575,0.801952087,0.428927626,0.278842607,0.231580354,0.379777015,0.964754997,1.014774022,0.999777745,1.017567574,0.985770379,1.029361263,0.963169839,1.056755527
LPE(O-16:1)_438.29784_1.62_High,162,2139,43829784,[M+H]+,LPE O-16:1,C21H44NO6P,LPE O-16:1_438.298_1.62_[M+H]+_High,LPE(O-16:1),,High,2.590024936,2.495533832,2.444161974,1.444329414,1.432878038,1.360125216,3.358734303,2.99323306,3.209055251,0.455552922,0.442176975,0.211839802,NA,NA,0.106918877,0.970285492,0.982283031,1.026383951,1.036334186,0.973130769,0.990324728,0.977898341,1.03265308
LPE(O-16:1)_436.28339_1.63_High,163,2096,43628339,[M-H]-,LPE O-16:1,C21H44NO6P,LPE O-16:1_436.283_1.63_[M-H]-_High,LPE(O-16:1),,High,0.346087572,0.33257233,0.324573669,0.183867992,0.155158368,0.203045171,0.549800736,0.401768588,0.56399659,0.409811549,0.501974928,0.211839012,0.073426988,0.061769454,0.089431205,0.94656419,0.933802793,1.041110126,1.021786175,1.043174145,1.063205633,0.973963783,1.020596946
LPE(44:6)_834.63638_4.29_low,429,2984,83463638,[M+H]+,LPE 44:6,C49H88NO7P,LPE 44:6_834.636_4.29_[M+H]+_low,LPE(44:6),,low,1.022968541,1.026047892,1.147253571,1.341411561,1.422103908,1.154285104,1.283009946,1.286997466,1.301895542,0.489170746,0.163506405,0.111275013,NA,0.082631515,NA,1.006298975,0.97791717,1.003311216,1.022679063,1.004002196,0.997109147,1.028172956,0.914946003
LPE(24:5)_554.32438_1.54_Medium,154,2299,55432438,[M-H]-,LPE 24:5,C29H50NO7P,LPE 24:5_554.324_1.54_[M-H]-_Medium,LPE(24:5),,Medium,2.8321545,2.582599141,2.138705001,0.950149348,0.806711643,0.984217144,1.622371965,1.30578229,1.416400235,0.056405307,0.055731749,0.080918067,0.058565353,0.059214446,0.064535219,0.94131487,1.032190281,1.029207887,0.959768359,1.013184909,1.001556243,0.977072905,1.059326107
